Index	HOMO (A)	HOMO (AH)	LUMO (A)	LUMO (AH)	charge (AH)	Charge metal (A)	epsilon	Charge metal (AH)	M-H (AH) max	Charge hydride (AH)	metal centre 	coordination number (AH)	cc_AH	coordination number (A)	cc_A	solvated PA	gas PA	Experimental pKa
1	-7.8453	-9.692	-4.2406	-6.9161	1	-0.938	25.5	-0.713	1.3935603	0.09	28	4	46	5	51	-0.205004619	-0.157003718	24.4
2	-7.733	-9.6774	-4.069	-6.9602	1	-0.911	25.5	-0.722	1.3709678	0.135	28	4	46	5	51	-0.201221399	-0.15102034	23.8
3	-7.6751	-9.6051	-3.9238	-6.899	1	-0.95	25.5	-0.718	1.3860477	0.096	28	4	46	5	51	-0.204676645	-0.1559617	24
4	-8.1345	-9.8027	-6.3221	-7.5155	1	-0.868	36.6	-0.718	1.3802114	0.121	28	4	46	5	51	-0.193561712	-0.151289253	14.2
5	-7.9405	-9.4709	-5.7324	-6.9515	1	-0.88	36.6	-0.664	1.4023997	0.097	28	4	46	5	51	-0.202464741	-0.151682042	22.5
6	-7.9095	-9.3111	-6.1992	-7.3437	1	-0.863	36.6	-0.664	1.4217146	0.061	28	4	46	5	51	-0.213749364	-0.169109747	18.5
7	-7.871	-9.3563	-6.1422	-7.303	1	-0.864	36.6	-0.666	1.4210776	0.072	28	4	46	5	51	-0.213094573	-0.167823888	19.4
8	-7.9258	-9.3201	-6.278	-7.4219	1	-0.842	36.6	-0.665	1.4278188	0.093	28	4	46	5	51	-0.203789652	-0.158999946	17.4
9	-7.3649	-9.1268	-5.9033	-6.8095	1	-0.908	25.5	-0.675	1.3932212	0.099	28	4	46	5	51	-0.220660622	-0.17113348	22.6
10	-8.1492	-9.4944	-6.3697	-7.4389	1	-0.856	36.6	-0.662	1.4118088	0.098	28	4	46	5	51	-0.20344563	-0.159133613	16.3
11	-7.9699	-9.7259	-6.1982	-7.3086	1	-0.903	25.5	-0.728	1.3830282	0.114	28	4	46	5	51	-0.199931769	-0.154831706	20.3
12	-8.1364	-9.8029	-6.3241	-7.516	1	-0.868	36.6	-0.718	1.3799747	0.121	28	4	46	5	51	-0.193547805	-0.151289237	13.2
13	-8.032	-9.3712	-6.2646	-6.9866	1	-0.864	36.6	-0.699	1.3865705	0.147	28	4	46	5	51	-0.20417279	-0.15743894	16.5
14	-7.3584	-9.2441	-5.9043	-7.0787	1	-0.903	36.6	-0.675	1.3794928	0.133	28	4	46	5	51	-0.209833601	-0.15915363	21.2
15	-7.2771	-9.0907	-4.3729	-6.8051	1	-0.905	36.6	-0.664	1.3935715	0.097	28	4	46	3	21	-0.222889851	-0.175524662	24.6
16	-7.8346	-9.5274	-5.7066	-6.9866	1	-0.867	36.6	-0.698	1.3811123	0.161	28	4	46	5	51	-0.202554632	-0.153978719	17.3
17	-7.5797	-9.5677	-4.0074	-6.9194	1	-0.96	36.6	-0.754	1.3727233	0.102	28	3	31	5	51	-0.20608295	-0.158081507	23.3
18	-7.5576	-9.5444	-3.9916	-7.0097	1	-0.935	36.6	-0.732	1.3779324	0.134	28	4	46	4	36	-0.209635885	-0.161418105	22.2
19	-7.8884	-9.6597	-6.2016	-7.1908	1	-0.863	25.5	-0.702	1.37307	0.122	28	4	46	5	51	-0.211953377	-0.166186035	18
20	-7.8882	-9.5078	-4.0979	-5.7231	1	-0.775	25.5	-0.453	1.5323293	-0.028	78	4	46	5	51	-0.239973503	-0.195245621	31.1
21	-7.804	-9.4632	-4.1277	-5.854	1	-0.795	25.5	-0.476	1.5326348	-0.034	78	4	46	5	51	-0.245140381	-0.201554626	29.7
22	-7.7174	-9.4406	-3.8178	-5.6	1	-0.79	25.5	-0.45	1.5260254	-0.026	78	4	46	5	51	-0.244000331	-0.199120831	30.4
