Index	Metal center 	Complex AH	pKa	solvent	reference base	DOI	DOI2	DOI3	page number	Temperature (K)	Comments	Index	SMILES (A)	SMILES(AH)
1	Ni	[HNi(dmpe)2]+	24.4	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y	http://dx.doi.org/10.1021/ja0116829	"1314 	 11436"	298		1	[Ni]12(P(CCP2(C)C)(C)C)P(CCP1(C)C)(C)C	[NiH]12(P(CCP2(C)C)(C)C)P(CCP1(C)C)(C)C
2	Ni	[HNi(depe)2]+	23.8	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y	http://dx.doi.org/10.1021/ja0116829	"1314 	 11436"	298		2	[Ni]12(P(CCP2(CC)CC)(CC)CC)P(CCP1(CC)CC)(CC)CC	[NiH]12(P(CCP2(CC)CC)(CC)CC)P(CCP1(CC)CC)(CC)CC
3	Ni	[HNi(dmpp)2]+	24	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y	http://dx.doi.org/10.1021/ja0116829	"1314 	 11436"	298		3	[Ni]12(P(CCCP2(C)C)(C)C)P(CCCP1(C)C)(C)C	[NiH]12(P(CCCP2(C)C)(C)C)P(CCCP1(C)C)(C)C
4	Ni	[HNi(dppe)2]+	14.2	acetonitrile	pyridine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y		"1314 	 11436"	298		4	[Ni]12(P(CCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[NiH]12(P(CCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
5	Ni	[HNi((P(Me))2(N(Ph))2)2]+	22.5	acetonitrile	collidine	http://dx.doi.org/10.1021/acscatal.7b03396%20 	https://doi.org/10.1021/cs300019h		"1314 	 723"	298		5	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)C)c1ccccc1)C)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)C)c1ccccc1)C	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)C)c1ccccc1)C)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)C)c1ccccc1)C
6	Ni	[HNi((P(Ph))2(N(Me))2)2]+	18.5	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja204489e	https://doi.org/10.1039/B921245K	"1314 	 12778"	298		6	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)C)c1ccccc1)C)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)C)c1ccccc1)C)c1ccccc1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)C)c1ccccc1)C)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)C)c1ccccc1)C)c1ccccc1
7	Ni	[HNi((P(Ph))2(N(Bn))2)2]+	19.4	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/om070143v		"1314 	 3919"	298		7	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1
8	Ni	[HNi((P(Ph))2(N(C6H4-OMe))2]+	17.4	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396%20 	https://doi.org/10.1021/ja204489e		"1314 	 12778"	298		8	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)c1ccc(cc1)OC)c1ccccc1)c1ccc(cc1)OC)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)c1ccc(cc1)OC)c1ccccc1)c1ccc(cc1)OC)c1ccccc1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)c1ccc(cc1)OC)c1ccccc1)c1ccc(cc1)OC)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)c1ccc(cc1)OC)c1ccccc1)c1ccc(cc1)OC)c1ccccc1
9	Ni	[HNi((P(Cy))2(N(Bn-OMe))2]+	22.6	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396%20 	http://dx.doi.org/10.1021/om300409y		"1314 	 6729"	298		9	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)Cc1ccc(cc1)OC)C1CCCCC1)Cc1ccc(cc1)OC)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)Cc1ccc(cc1)OC)C1CCCCC1)Cc1ccc(cc1)OC)C1CCCCC1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)Cc1ccc(cc1)OC)C1CCCCC1)Cc1ccc(cc1)OC)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)Cc1ccc(cc1)OC)C1CCCCC1)Cc1ccc(cc1)OC)C1CCCCC1
10	Ni	[HNi((P(Ph))2(N(Ph))2]+	16.3	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396%20 	http://dx.doi.org/10.1021/om070143v		"1314 	 3919"	298		10	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1
